parameter,word,ipa,description,alternative,source_raw,source_bibtex,comment,
fDD,tiha-g,,,,CHIB3,deicat_aguaruna_2015,,
fFB,apa-'hu yači,,,,CHIB3,deicat_aguaruna_2015,,
fFZ,apa-'hu uma-yi,,,,CHIB3,deicat_aguaruna_2015,,
fMB,yac̷u-t,,,,CHIB3,deicat_aguaruna_2015,,
fMZ,u'ma,,,,CHIB3,deicat_aguaruna_2015,,
fMZ,uma-yui,,,,CHIB3,deicat_aguaruna_2015,,
fBS,awɨ-t,,,,CHIB3,deicat_aguaruna_2015,,
fBD,awɨt,,,,CHIB3,deicat_aguaruna_2015,,
fZS,awɨ-t,,,,CHIB3,deicat_aguaruna_2015,,
fZD,awɨt,,,,CHIB3,deicat_aguaruna_2015,,
fFZD,i'ka 'yac̷u-t,,,,CHIB3,deicat_aguaruna_2015,,
fFBD,i'ka 'yac̷u-t,,,,CHIB3,deicat_aguaruna_2015,,
fMBD,i'ka 'yac̷u-t,,,,CHIB3,deicat_aguaruna_2015,,
fMZD,i'ka 'yac̷u-t,,,,CHIB3,deicat_aguaruna_2015,,
fFBS,i'ka 'yac̷u-t,,,,CHIB3,deicat_aguaruna_2015,,
fFZS,i'ka 'yac̷u-t,,,,CHIB3,deicat_aguaruna_2015,,
fMBS,i'ka 'yac̷u-t,,,,CHIB3,deicat_aguaruna_2015,,
fMZS,i'ka 'yac̷u-t,,,,CHIB3,deicat_aguaruna_2015,,
fH,aiši,,,,CHIB3,deicat_aguaruna_2015,,
fW,nuwa-tk-amu,,,,CHIB3,deicat_aguaruna_2015,,
fHF,wɨga-g,,,,CHIB3,deicat_aguaruna_2015,,
fHF,diič,,,,CHIB3,deicat_aguaruna_2015,,
fHM,c̷ac̷a-g,,,,CHIB3,deicat_aguaruna_2015,,
fHM,duku-g,,,,CHIB3,deicat_aguaruna_2015,,
fWF,wɨga-g,,,,CHIB3,deicat_aguaruna_2015,,
fWF,diič,,,,CHIB3,deicat_aguaruna_2015,,
fWM,c̷ac̷a-g,,,,CHIB3,deicat_aguaruna_2015,,
fWM,duku-g,,,,CHIB3,deicat_aguaruna_2015,,
fSW,uči-'hi nuwɨ,,,,CHIB3,deicat_aguaruna_2015,,
fSW,awɨ-g,,,,CHIB3,deicat_aguaruna_2015,,
fSW,uči-'hi nuwɨ,,,,CHIB3,deicat_aguaruna_2015,,
fSW,nawan,,,,CHIB3,deicat_aguaruna_2015,,
fDH,awɨ-g,,,,CHIB3,deicat_aguaruna_2015,,
fDH,awɨ-g,,,,CHIB3,deicat_aguaruna_2015,,
feB,yac̷u-g,,,,CHIB3,deicat_aguaruna_2015,Inferred; NA,
fyB,yac̷u-g,,,,CHIB3,deicat_aguaruna_2015,Inferred; NA,
feZ,uba-g,,,,CHIB3,deicat_aguaruna_2015,Inferred; NA,
fyZ,uba-g,,,,CHIB3,deicat_aguaruna_2015,Inferred; NA,
fFeB,apa-'hu yači,,,,CHIB3,deicat_aguaruna_2015,Inferred; NA,
fFyB,apa-'hu yači,,,,CHIB3,deicat_aguaruna_2015,Inferred; NA,
fFeZ,apa-'hu uma-yi,,,,CHIB3,deicat_aguaruna_2015,Inferred; NA,
fFyZ,apa-'hu uma-yi,,,,CHIB3,deicat_aguaruna_2015,Inferred; NA,
fMeZ,u'ma,,,,CHIB3,deicat_aguaruna_2015,Inferred; NA,
fMeZ,uma-yui,,,,CHIB3,deicat_aguaruna_2015,Inferred; NA,
fMyZ,u'ma,,,,CHIB3,deicat_aguaruna_2015,Inferred; NA,
fMyZ,uma-yui,,,,CHIB3,deicat_aguaruna_2015,Inferred; NA,
fMeB,yac̷u-t,,,,CHIB3,deicat_aguaruna_2015,Inferred; NA,
fMyB,yac̷u-t,,,,CHIB3,deicat_aguaruna_2015,Inferred; NA,
feBS,awɨ-t,,,,CHIB3,deicat_aguaruna_2015,Inferred; NA,
fyBS,awɨ-t,,,,CHIB3,deicat_aguaruna_2015,Inferred; NA,
feBD,awɨt,,,,CHIB3,deicat_aguaruna_2015,Inferred; NA,
fyBD,awɨt,,,,CHIB3,deicat_aguaruna_2015,Inferred; NA,
feZS,awɨ-t,,,,CHIB3,deicat_aguaruna_2015,Inferred; NA,
fyZS,awɨ-t,,,,CHIB3,deicat_aguaruna_2015,Inferred; NA,
feZD,awɨt,,,,CHIB3,deicat_aguaruna_2015,Inferred; NA,
fyZD,awɨt,,,,CHIB3,deicat_aguaruna_2015,Inferred; NA,
fFeBS,i'ka 'yac̷u-t,,,,CHIB3,deicat_aguaruna_2015,Inferred; NA,
fFyBS,i'ka 'yac̷u-t,,,,CHIB3,deicat_aguaruna_2015,Inferred; NA,
fFeZS,i'ka 'yac̷u-t,,,,CHIB3,deicat_aguaruna_2015,Inferred; NA,
fFyZS,i'ka 'yac̷u-t,,,,CHIB3,deicat_aguaruna_2015,Inferred; NA,
