"parameter","word","ipa","description","alternative","source_raw","source_bibtex","comment","comment.1"
"mMBeD","mama, inobe",,"male ego‘s mother‘s brother‘s older daughter",,,"nash1974matriliny","",
"mMByD","inalamanda, inobe",,"male ego‘s mother‘s brother‘s younger daughter",,,"nash1974matriliny","",
"mMZeS","tata",,"male ego‘s mother‘s sisters‘s older son",,,"nash1974matriliny","",
"mMZyS","inalaman",,"male ego‘s mother‘s sisters‘s younger son",,,"nash1974matriliny","",
"mMZeD","mama",,"male ego‘s mother‘s sisters‘s older daughter",,,"nash1974matriliny","",
"mMZyD","inalamanda",,"male ego‘s mother‘s sisters‘s younger daughter",,,"nash1974matriliny","",
"fFBeS","tata",,"female ego‘s father‘s brother‘s older son",,,"nash1974matriliny","",
"fFByS","inalaman",,"female ego‘s father‘s brother‘s younger son",,,"nash1974matriliny","",
"fFBeD","mama",,"female ego‘s father‘s brother‘s older daughter",,,"nash1974matriliny","",
"fFByD","inalamanda",,"female ego‘s father‘s brother‘s younger daughter",,,"nash1974matriliny","",
"fFZeS","tata",,"female ego‘s father‘s sisters‘s older son",,,"nash1974matriliny","",
"fFZyS","inalaman",,"female ego‘s father‘s sisters‘s younger son",,,"nash1974matriliny","",
"fFZeD","inomas",,"female ego‘s father‘s sisters‘s older daughter",,,"nash1974matriliny","",
"fFZyD","inomas",,"female ego‘s father‘s sisters‘s younger daughter",,,"nash1974matriliny","",
"fMBeS","tata",,"female ego‘s mother‘s brother‘s older son",,,"nash1974matriliny","",
"fMByS","inalaman",,"female ego‘s mother‘s brother‘s younger son",,,"nash1974matriliny","",
"fMBeD","inomas",,"female ego‘s mother‘s brother‘s older daughter",,,"nash1974matriliny","",
"fMByD","inomas",,"female ego‘s mother‘s brother‘s younger daughter",,,"nash1974matriliny","",
"fMZeS","tata",,"female ego‘s mother‘s sisters‘s older son",,,"nash1974matriliny","",
"fMZyS","inalaman",,"female ego‘s mother‘s sisters‘s younger son",,,"nash1974matriliny","",
"fMZeD","mama",,"female ego‘s mother‘s sisters‘s older daughter",,,"nash1974matriliny","",
"fMZyD","inalamanda",,"female ego‘s mother‘s sisters‘s younger daughter",,,"nash1974matriliny","",
