parameter,word,ipa,description,alternative,source_raw,source_bibtex,comment,,,,,,,,,
fMZS,amdun,,,,YE1(3),noauthor_ket_nodate,,,,,,,,,,
fH,tyet,tēˑt,,,YE1(16),noauthor_ket_nodate,,,,,,,,,,
fW,qim,qīˑm,,,YE1(14),noauthor_ket_nodate,,,,,,,,,,
fHF,qibbat,,,,YE1(11),noauthor_ket_nodate,,,,,,,,,,
fWF,qibbat,,,,YE1(11),noauthor_ket_nodate,,,,,,,,,,
fyBW,ennam,,,,YE1(5),noauthor_ket_nodate,Youngest brother's wife,,,,,,,,,
fBW,bolbesam,,,,YE1(2),noauthor_ket_nodate,,,,,,,,,,
fZH,bolbes,,,,YE1(2),noauthor_ket_nodate,,,,,,,,,,
fWyB,bistɨl,bistɨl,,,YE1(2),noauthor_ket_nodate,,,,,,,,,,
fWB,bolbes,,,,YE1(2),noauthor_ket_nodate,,,,,,,,,,
fWyZ,bistɨl,bistɨl,,,YE1(2),noauthor_ket_nodate,,,,,,,,,,
fWZ,huram,huʁam,,,YE1(10),noauthor_ket_nodate,,,,,,,,,,
fySW,ennam,,,,YE1(5),noauthor_ket_nodate,Youngest son's wife,,,,,,,,,
fFeBS,amdun,,,,YE1(3),noauthor_ket_nodate,Inferred; NA,,,,,,,,,
fFyBS,amdun,,,,YE1(3),noauthor_ket_nodate,Inferred; NA,,,,,,,,,
fFeZS,amdun,,,,YE1(3),noauthor_ket_nodate,Inferred; NA,,,,,,,,,
fFyZS,amdun,,,,YE1(3),noauthor_ket_nodate,Inferred; NA,,,,,,,,,
fFeBD,amdus,,,,YE1(3),noauthor_ket_nodate,Inferred; NA,,,,,,,,,
fFyBD,amdus,,,,YE1(3),noauthor_ket_nodate,Inferred; NA,,,,,,,,,
fFeZD,amdus,,,,YE1(3),noauthor_ket_nodate,Inferred; NA,,,,,,,,,
fFyZD,amdus,,,,YE1(3),noauthor_ket_nodate,Inferred; NA,,,,,,,,,
fMeBS,amdun,,,,YE1(3),noauthor_ket_nodate,Inferred; NA,,,,,,,,,
fMyBS,amdun,,,,YE1(3),noauthor_ket_nodate,Inferred; NA,,,,,,,,,
fMeZS,amdun,,,,YE1(3),noauthor_ket_nodate,Inferred; NA,,,,,,,,,
fMyZS,amdun,,,,YE1(3),noauthor_ket_nodate,Inferred; NA,,,,,,,,,
fMeBD,amdus,,,,YE1(3),noauthor_ket_nodate,Inferred; NA,,,,,,,,,
fMyBD,amdus,,,,YE1(3),noauthor_ket_nodate,Inferred; NA,,,,,,,,,
fMeZD,amdus,,,,YE1(3),noauthor_ket_nodate,Inferred; NA,,,,,,,,,
fMyZD,amdus,,,,YE1(3),noauthor_ket_nodate,Inferred; NA,,,,,,,,,
fFBeS,amdun,,,,YE1(3),noauthor_ket_nodate,Inferred; NA,,,,,,,,,
fFByS,amdun,,,,YE1(3),noauthor_ket_nodate,Inferred; NA,,,,,,,,,
fFZeS,amdun,,,,YE1(3),noauthor_ket_nodate,Inferred; NA,,,,,,,,,
fFZyS,amdun,,,,YE1(3),noauthor_ket_nodate,Inferred; NA,,,,,,,,,
fFBeD,amdus,,,,YE1(3),noauthor_ket_nodate,Inferred; NA,,,,,,,,,
fFByD,amdus,,,,YE1(3),noauthor_ket_nodate,Inferred; NA,,,,,,,,,
fFZeD,amdus,,,,YE1(3),noauthor_ket_nodate,Inferred; NA,,,,,,,,,
fFZyD,amdus,,,,YE1(3),noauthor_ket_nodate,Inferred; NA,,,,,,,,,
fMBeS,amdun,,,,YE1(3),noauthor_ket_nodate,Inferred; NA,,,,,,,,,
fMByS,amdun,,,,YE1(3),noauthor_ket_nodate,Inferred; NA,,,,,,,,,
fMZeS,amdun,,,,YE1(3),noauthor_ket_nodate,Inferred; NA,,,,,,,,,
fMZyS,amdun,,,,YE1(3),noauthor_ket_nodate,Inferred; NA,,,,,,,,,
fMBeD,amdus,,,,YE1(3),noauthor_ket_nodate,Inferred; NA,,,,,,,,,
fMByD,amdus,,,,YE1(3),noauthor_ket_nodate,Inferred; NA,,,,,,,,,
fMZeD,amdus,,,,YE1(3),noauthor_ket_nodate,Inferred; NA,,,,,,,,,
fMZyD,amdus,,,,YE1(3),noauthor_ket_nodate,Inferred; NA,,,,,,,,,
fMyZ,q?j,,,,,Vajda_Nefedov_2009,,,,,,,,,,
fMyZ,qoja,,,,,Vajda_Nefedov_2010,,,,,,,,,,
fMyB,q?j,,,,,Vajda_Nefedov_2011,,,,,,,,,,
fMyB,qoja,,,,,Vajda_Nefedov_2012,,,,,,,,,,
fFyB,q?j,,,,,Vajda_Nefedov_2013,,,,,,,,,,
fFyB,qoja,,,,,Vajda_Nefedov_2014,,,,,,,,,,
fFyZ,q?j,,,,,Vajda_Nefedov_2015,,,,,,,,,,
fFyZ,qoja,,,,,Vajda_Nefedov_2016,,,,,,,,,,
mMyZ,q?j,,,,,Vajda_Nefedov_2017,,,,,,,,,,
mMyZ,qoja,,,,,Vajda_Nefedov_2018,,,,,,,,,,
mMyB,q?j,,,,,Vajda_Nefedov_2019,,,,,,,,,,
mMyB,qoja,,,,,Vajda_Nefedov_2020,,,,,,,,,,
mFyB,q?j,,,,,Vajda_Nefedov_2021,,,,,,,,,,
mFyB,qoja,,,,,Vajda_Nefedov_2022,,,,,,,,,,
mFyZ,q?j,,,,,Vajda_Nefedov_2023,,,,,,,,,,
mFyZ,qoja,,,,,Vajda_Nefedov_2024,,,,,,,,,,
fMeZ,be?p,,,,,Vajda_Nefedov_2025,,,,,,,,,,
fMeB,be?p,,,,,Vajda_Nefedov_2026,,,,,,,,,,
fFeB,be?p,,,,,Vajda_Nefedov_2027,,,,,,,,,,
fFeZ,be?p,,,,,Vajda_Nefedov_2028,,,,,,,,,,
mMeZ,be?p,,,,,Vajda_Nefedov_2029,,,,,,,,,,
mMeB,be?p,,,,,Vajda_Nefedov_2030,,,,,,,,,,
mFeB,be?p,,,,,Vajda_Nefedov_2031,,,,,,,,,,
mFeZ,be?p,,,,,Vajda_Nefedov_2032,,,,,,,,,,
