"parameter","word","ipa","description","alternative","source_raw","source_bibtex","comment","comment.1"
"fyZS","yéi",,"female ego's younger sister's son ",,,"collier1983Tabla","",
"feBD","yéi",,"female ego's older brother's daughter ",,,"collier1983Tabla","",
"fyBD","yéi",,"female ego's younger brother's daughter ",,,"collier1983Tabla","",
"feZD","yéi",,"female ego's older sister's daughter ",,,"collier1983Tabla","",
"fyZD","yéi",,"female ego's younger sister's daughter ",,,"collier1983Tabla","",
"mFeB","memai",,"male ego's father's older brother ",,,"collier1983Tabla","",
"mFyB","memai",,"male ego's father's younger brother ",,,"collier1983Tabla","",
"mFeZ","éneng",,"male ego's father's older sister ",,,"collier1983Tabla","",
"mFyZ","éneng",,"male ego's father's younger sister ",,,"collier1983Tabla","",
"mMeB","uai",,"male ego's mother's older brother ",,,"collier1983Tabla","",
"mMyB","uai",,"male ego's mother's younger brother ",,,"collier1983Tabla","",
"mMeZ","naméng",,"male ego's mother's older sister ",,,"collier1983Tabla","",
"mMyZ","naméng",,"male ego's mother's younger sister ",,,"collier1983Tabla","",
"fFeB","memai",,"female ego's father's older brother ",,,"collier1983Tabla","",
"fFyB","memai",,"female ego's father's younger brother ",,,"collier1983Tabla","",
"fFeZ","éneng",,"female ego's father's older sister ",,,"collier1983Tabla","",
"fFyZ","éneng",,"female ego's father's younger sister ",,,"collier1983Tabla","",
"fMeB","uai",,"female ego's mother's older brother ",,,"collier1983Tabla","",
"fMyB","uai",,"female ego's mother's younger brother ",,,"collier1983Tabla","",
"fMeZ","naméng",,"female ego's mother's older sister ",,,"collier1983Tabla","",
"fMyZ","naméng",,"female ego's mother's younger sister ",,,"collier1983Tabla","",
"mW","miré",,"male ego's wife",,,"collier1983Tabla","",
"fH","do",,"female ego‘s husband",,,"collier1983Tabla","",
"mDH","desang",,"male ego's daughter's husband",,,"collier1983Tabla","",
"fDH","desang",,"female ego's daughter's husband",,,"collier1983Tabla","",
"mSW","",,"male ego's son's wife",,,"collier1983Tabla","",
"fSW","",,"female ego's son's wife",,,"collier1983Tabla","",
"mWF","desang",,"male ego's wife's father",,,"collier1983Tabla","",
"mWM","desang",,"male ego's wife's mother",,,"collier1983Tabla","",
"mWB","démso",,"male ego's wife's brother",,,"collier1983Tabla","",
"mWZ","miré",,"male ego's wife's sister",,,"collier1983Tabla","",
"fHF","memai",,"female ego's husband's father",,,"collier1983Tabla","",
"fHM","naméng",,"female ego's husband's mother",,,"collier1983Tabla","",
"fHB","démso, do",,"female ego's husband's brother",,,"collier1983Tabla","",
"fHZ","démso",,"female ego's husband's sister",,,"collier1983Tabla","",
"mBW","yarisé, metona",,"male ego's brother's wife",,,"collier1983Tabla","",
"fBW","démso",,"female ego's brother's wife",,,"collier1983Tabla","",
"mZH","démso",,"male ego's sister's husband",,,"collier1983Tabla","",
"fZH","yarisé, metona",,"female ego's sister's husband",,,"collier1983Tabla","",
"mFeBS","yarisé",,"male ego's father‘s older brother‘s son",,,"collier1983Tabla","",
"mFyBS","metona",,"male ego‘s father‘s younger brother‘s son",,,"collier1983Tabla","",
"mFeZS","doto",,"male ego's father‘s older sister‘s son",,,"collier1983Tabla","",
"mFyZS","doto",,"male ego‘s father‘s younger sister‘s son",,,"collier1983Tabla","",
"mFeBD","yarisé",,"male ego's father‘s older brother‘s daughter",,,"collier1983Tabla","",
"mFyBD","metona",,"male ego‘s father‘s younger brother‘s daughter",,,"collier1983Tabla","",
"mFeZD","méngke",,"male ego's father‘s older sister‘s daughter",,,"collier1983Tabla","",
"mFyZD","méngke",,"male ego‘s father‘s younger sister‘s daughter",,,"collier1983Tabla","",
"mMeBS","doto",,"male ego's mother‘s older brother‘s son",,,"collier1983Tabla","",
"mMyBS","doto",,"male ego‘s mother‘s younger brother‘s son",,,"collier1983Tabla","",
"mMeZS","yarisé",,"male ego's mother‘s older sister‘s son",,,"collier1983Tabla","",
"mMyZS","metona",,"male ego‘s mother‘s younger sister‘s son",,,"collier1983Tabla","",
"mMeBD","méngke",,"male ego's mother‘s older brother‘s daughter",,,"collier1983Tabla","",
"mMyBD","méngke",,"male ego‘s mother‘s younger brother‘s daughter",,,"collier1983Tabla","",
"mMeZD","yarisé",,"male ego's mother‘s older sister‘s daughter",,,"collier1983Tabla","",
"mMyZD","metona",,"male ego‘s mother‘s younger sister‘s daughter",,,"collier1983Tabla","",
"fFeBS","yarisé",,"female ego's father‘s older brother‘s son",,,"collier1983Tabla","",
"fFyBS","metona",,"female ego‘s father‘s younger brother‘s son",,,"collier1983Tabla","",
"fFeZS","doto",,"female ego's father‘s older sister‘s son",,,"collier1983Tabla","",
"fFyZS","doto",,"female ego‘s father‘s younger sister‘s son",,,"collier1983Tabla","",
"fFeBD","yarisé",,"female ego's father‘s older brother‘s daughter",,,"collier1983Tabla","",
"fFyBD","metona",,"female ego‘s father‘s younger brother‘s daughter",,,"collier1983Tabla","",
"fFeZD","méngke",,"female ego's father‘s older sister‘s daughter",,,"collier1983Tabla","",
"fFyZD","méngke",,"female ego‘s father‘s younger sister‘s daughter",,,"collier1983Tabla","",
"fMeBS","doto",,"female ego's mother‘s older brother‘s son",,,"collier1983Tabla","",
"fMyBS","doto",,"female ego‘s mother‘s younger brother‘s son",,,"collier1983Tabla","",
"fMeZS","yarisé",,"female ego's mother‘s older sister‘s son",,,"collier1983Tabla","",
"fMyZS","metona",,"female ego‘s mother‘s younger sister‘s son",,,"collier1983Tabla","",
"fMeBD","méngke",,"female ego's mother‘s older brother‘s daughter",,,"collier1983Tabla","",
"fMyBD","méngke",,"female ego‘s mother‘s younger brother‘s daughter",,,"collier1983Tabla","",
"fMeZD","yarisé",,"female ego's mother‘s older sister‘s daughter",,,"collier1983Tabla","",
"fMyZD","metona",,"female ego‘s mother‘s younger sister‘s daughter",,,"collier1983Tabla","",
