"parameter","word","ipa","description","alternative","source_raw","source_bibtex","comment","comment.1"
"fFF","yaglawa",,"female ego's father's father",,,"reay1957kuma","",""
"fFM","awana",,"female ego's father's mother",,,"reay1957kuma","",""
"fMF","yaglawa",,"female ego's mother's father",,,"reay1957kuma","",""
"fMM","awana",,"female ego's mother's mother",,,"reay1957kuma","",""
"meBS","gawana",,"male ego's older brother's son",,,"reay1957kuma","",""
"myBS","gawana",,"male ego's younger brother's son",,,"reay1957kuma","",""
"meZS","kombona",,"male ego's older sister's son",,,"reay1957kuma","",""
"myZS","kombona",,"male ego's younger sister's son",,,"reay1957kuma","",""
"meBD","gawana",,"male ego's older brother's daughter",,,"reay1957kuma","",""
"myBD","gawana",,"male ego's younger brother's daughter",,,"reay1957kuma","",""
"meZD","kombona",,"male ego's older sister's daughter",,,"reay1957kuma","",""
"myZD","kombona",,"male ego's younger sister's daughter",,,"reay1957kuma","",""
"feBS","wana",,"female ego's older brother's son",,,"reay1957kuma","",""
"fyBS","yatn diuna",,"female ego's younger brother's son",,,"reay1957kuma","",""
"feZS","gawana",,"female ego's older sister's son",,,"reay1957kuma","",""
"fyZS","gawana",,"female ego's younger sister's son",,,"reay1957kuma","",""
"feBD","ambura",,"female ego's older brother's daughter",,,"reay1957kuma","",""
"fyBD","ambu diuna",,"female ego's younger brother's daughter",,,"reay1957kuma","",""
"feZD","gawana",,"female ego's older sister's daughter",,,"reay1957kuma","",""
"fyZD","gawana",,"female ego's younger sister's daughter",,,"reay1957kuma","",""
"mFeB","nina komuno",,"male ego's father's older brother",,,"reay1957kuma","komuno ""elder""",""
"mFyB","nina oguo",,"male ego's father's younger brother",,,"reay1957kuma","oguo ""younger""",""
"mFeZ","ambu diuna",,"male ego's father's older sister",,,"reay1957kuma","",""
"mFyZ","ambu diuna",,"male ego's father's younger sister",,,"reay1957kuma","",""
"mMeB","bawana",,"male ego's mother's older brother",,,"reay1957kuma","",""
"mMyB","bawana",,"male ego's mother's younger brother",,,"reay1957kuma","",""
"mMeZ","mana",,"male ego's mother's older sister",,,"reay1957kuma","",""
"mMyZ","mana",,"male ego's mother's younger sister",,,"reay1957kuma","",""
"fFeB","bawana",,"female ego's father's older brother",,,"reay1957kuma","",""
"fFyB","bawana",,"female ego's father's younger brother",,,"reay1957kuma","",""
"fFeZ","mana",,"female ego's father's older sister",,,"reay1957kuma","",""
"fFyZ","mana",,"female ego's father's younger sister",,,"reay1957kuma","",""
"fMeB","bawana",,"female ego's mother's older brother",,,"reay1957kuma","",""
"fMyB","bawana",,"female ego's mother's younger brother",,,"reay1957kuma","",""
"fMeZ","mana",,"female ego's mother's older sister",,,"reay1957kuma","",""
"fMyZ","mana",,"female ego's mother's younger sister",,,"reay1957kuma","",""
"mW","embena",,"male ego's wife",,,"reay1957kuma","",""
"fH","wina",,"female ego‘s husband",,,"reay1957kuma","",""
"mDH","kera",,"male ego's daughter's husband",,,"reay1957kuma","""gawana"" if ego is elderly",""
"fDH","kera",,"female ego's daughter's husband",,,"reay1957kuma","""gawana"" if ego is elderly",""
"mSW","embiena",,"male ego's son's wife",,,"reay1957kuma","",""
"fSW","embiena",,"female ego's son's wife",,,"reay1957kuma","",""
"mWF","imagena",,"male ego's wife's father",,,"reay1957kuma","""yaglawa"" if WF is elderly",""
"mWM","imagena",,"male ego's wife's mother",,,"reay1957kuma","""awana"" if WM is elderly",""
"mWB","kera",,"male ego's wife's brother",,,"reay1957kuma","",""
"mWZ","kera",,"male ego's wife's sister",,,"reay1957kuma","""imagena"" also",""
"fHF","yaglawa",,"female ego's husband's father",,,"reay1957kuma","",""
"fHM","awana",,"female ego's husband's mother",,,"reay1957kuma","",""
"fHB","ogondona",,"female ego's husband's brother",,,"reay1957kuma","fHyB = ""ogondona"", fHeB = ""nina""",""
"fHZ","muna, bitna",,"female ego's husband's sister",,,"reay1957kuma","if same age as ego = ""muna"", if older than ego = ""bitna""",""
"mBW","mamana",,"male ego's brother's wife",,,"reay1957kuma","",""
"fBW","mana, muna",,"female ego's brother's wife",,,"reay1957kuma","feBW = ""mana"", fyBW = ""muna""",""
"mZH","kera",,"male ego's sister's husband",,,"reay1957kuma","",""
"fZH","imagena",,"female ego's sister's husband",,,"reay1957kuma","",""
"mFBS","angra",,"male ego's father's brother's son",,,"reay1957kuma","",""
"mFZS","yongura",,"male ego's father's sister's son",,,"reay1957kuma","",""
"mMBS","yongura",,"male ego's mother's brother's son",,,"reay1957kuma","",""
"mMZS","kombona",,"male ego's mother's sister's son",,,"reay1957kuma","",""
"mFBD","ambara",,"male ego's father's brother's daughter",,,"reay1957kuma","",""
"mFZD","yongura",,"male ego's father's sister's daughter",,,"reay1957kuma","",""
"mMBD","yongura",,"male ego's mother's brother's daughter",,,"reay1957kuma","",""
"mMZD","kombona",,"male ego's mother's sister's daughter",,,"reay1957kuma","",""
"fFBS","yongura",,"female ego's father's brother's son",,,"reay1957kuma","",""
"fFZS","angra",,"female ego's father's sister's son",,,"reay1957kuma","",""
"fMBS","",,"female ego's mother's brother's son",,,"reay1957kuma","",""
"fMZS","",,"female ego's mother's sister's son",,,"reay1957kuma","",""
"fFBD","",,"female ego's father's brother's daughter",,,"reay1957kuma","",""
"fFZD","",,"female ego's father's sister's daughter",,,"reay1957kuma","",""
"fMBD","",,"female ego's mother's brother's daughter",,,"reay1957kuma","",""
"fMZD","",,"female ego's mother's sister's daughter",,,"reay1957kuma","",""
"mFeBS","",,"male ego's father‘s older brother‘s son",,,"reay1957kuma","",""
"mFyBS","",,"male ego‘s father‘s younger brother‘s son",,,"reay1957kuma","",""
"mFeZS","",,"male ego's father‘s older sister‘s son",,,"reay1957kuma","",""
"mFyZS","",,"male ego‘s father‘s younger sister‘s son",,,"reay1957kuma","",""
"mFeBD","",,"male ego's father‘s older brother‘s daughter",,,"reay1957kuma","",""
"mFyBD","",,"male ego‘s father‘s younger brother‘s daughter",,,"reay1957kuma","",""
"mFeZD","",,"male ego's father‘s older sister‘s daughter",,,"reay1957kuma","",""
"mFyZD","",,"male ego‘s father‘s younger sister‘s daughter",,,"reay1957kuma","",""
"mMeBS","",,"male ego's mother‘s older brother‘s son",,,"reay1957kuma","",""
"mMyBS","",,"male ego‘s mother‘s younger brother‘s son",,,"reay1957kuma","",""
"mMeZS","",,"male ego's mother‘s older sister‘s son",,,"reay1957kuma","",""
"mMyZS","",,"male ego‘s mother‘s younger sister‘s son",,,"reay1957kuma","",""
"mMeBD","",,"male ego's mother‘s older brother‘s daughter",,,"reay1957kuma","",""
"mMyBD","",,"male ego‘s mother‘s younger brother‘s daughter",,,"reay1957kuma","",""
"mMeZD","",,"male ego's mother‘s older sister‘s daughter",,,"reay1957kuma","",""
"mMyZD","",,"male ego‘s mother‘s younger sister‘s daughter",,,"reay1957kuma","",""
"fFeBS","",,"female ego's father‘s older brother‘s son",,,"reay1957kuma","",""
"fFyBS","",,"female ego‘s father‘s younger brother‘s son",,,"reay1957kuma","",""
"fFeZS","",,"female ego's father‘s older sister‘s son",,,"reay1957kuma","",""
"fFyZS","",,"female ego‘s father‘s younger sister‘s son",,,"reay1957kuma","",""
"fFeBD","",,"female ego's father‘s older brother‘s daughter",,,"reay1957kuma","",""
"fFyBD","",,"female ego‘s father‘s younger brother‘s daughter",,,"reay1957kuma","",""
"fFeZD","",,"female ego's father‘s older sister‘s daughter",,,"reay1957kuma","",""
"fFyZD","",,"female ego‘s father‘s younger sister‘s daughter",,,"reay1957kuma","",""
"fMeBS","",,"female ego's mother‘s older brother‘s son",,,"reay1957kuma","",""
"fMyBS","",,"female ego‘s mother‘s younger brother‘s son",,,"reay1957kuma","",""
"fMeZS","",,"female ego's mother‘s older sister‘s son",,,"reay1957kuma","",""
"fMyZS","",,"female ego‘s mother‘s younger sister‘s son",,,"reay1957kuma","",""
"fMeBD","",,"female ego's mother‘s older brother‘s daughter",,,"reay1957kuma","",""
"fMyBD","",,"female ego‘s mother‘s younger brother‘s daughter",,,"reay1957kuma","",""
"fMeZD","",,"female ego's mother‘s older sister‘s daughter",,,"reay1957kuma","",""
"fMyZD","",,"female ego‘s mother‘s younger sister‘s daughter",,,"reay1957kuma","",""
"mFBeS","",,"male ego‘s father‘s brother‘s older son",,,"reay1957kuma","",""
"mFByS","",,"male ego‘s father‘s brother‘s younger son",,,"reay1957kuma","",""
"mFBeD","",,"male ego‘s father‘s brother‘s older daughter",,,"reay1957kuma","",""
"mFByD","",,"male ego‘s father‘s brother‘s younger daughter",,,"reay1957kuma","",""
"mFZeS","",,"male ego‘s father‘s sisters‘s older son",,,"reay1957kuma","",""
"mFZyS","",,"male ego‘s father‘s sisters‘s younger son",,,"reay1957kuma","",""
"mFZeD","",,"male ego‘s father‘s sisters‘s older daughter",,,"reay1957kuma","",""
"mFZyD","",,"male ego‘s father‘s sisters‘s younger daughter",,,"reay1957kuma","",""
"mMBeS","",,"male ego‘s mother‘s brother‘s older son",,,"reay1957kuma","",""
"mMByS","",,"male ego‘s mother‘s brother‘s younger son",,,"reay1957kuma","",""
"mMBeD","",,"male ego‘s mother‘s brother‘s older daughter",,,"reay1957kuma","",""
"mMByD","",,"male ego‘s mother‘s brother‘s younger daughter",,,"reay1957kuma","",""
"mMZeS","",,"male ego‘s mother‘s sisters‘s older son",,,"reay1957kuma","",""
"mMZyS","",,"male ego‘s mother‘s sisters‘s younger son",,,"reay1957kuma","",""
"mMZeD","",,"male ego‘s mother‘s sisters‘s older daughter",,,"reay1957kuma","",""
"mMZyD","",,"male ego‘s mother‘s sisters‘s younger daughter",,,"reay1957kuma","",""
"fFBeS","",,"female ego‘s father‘s brother‘s older son",,,"reay1957kuma","",""
"fFByS","",,"female ego‘s father‘s brother‘s younger son",,,"reay1957kuma","",""
"fFBeD","",,"female ego‘s father‘s brother‘s older daughter",,,"reay1957kuma","",""
"fFByD","",,"female ego‘s father‘s brother‘s younger daughter",,,"reay1957kuma","",""
"fFZeS","",,"female ego‘s father‘s sisters‘s older son",,,"reay1957kuma","",""
"fFZyS","",,"female ego‘s father‘s sisters‘s younger son",,,"reay1957kuma","",""
"fFZeD","",,"female ego‘s father‘s sisters‘s older daughter",,,"reay1957kuma","",""
"fFZyD","",,"female ego‘s father‘s sisters‘s younger daughter",,,"reay1957kuma","",""
"fMBeS","",,"female ego‘s mother‘s brother‘s older son",,,"reay1957kuma","",""
"fMByS","",,"female ego‘s mother‘s brother‘s younger son",,,"reay1957kuma","",""
"fMBeD","",,"female ego‘s mother‘s brother‘s older daughter",,,"reay1957kuma","",""
"fMByD","",,"female ego‘s mother‘s brother‘s younger daughter",,,"reay1957kuma","",""
"fMZeS","",,"female ego‘s mother‘s sisters‘s older son",,,"reay1957kuma","",""
"fMZyS","",,"female ego‘s mother‘s sisters‘s younger son",,,"reay1957kuma","",""
"fMZeD","",,"female ego‘s mother‘s sisters‘s older daughter",,,"reay1957kuma","",""
"fMZyD","",,"female ego‘s mother‘s sisters‘s younger daughter",,,"reay1957kuma","",""
